leagueID,date,home,away,favorite_gap,fg_source,fg_books,home_1h_cornerKicks,home_1h_yellowCards,home_1h_offsides,home_1h_shots_onGoal,home_1h_fouls,home_1h_shots,home_1h_points,home_1h_possessionPercent,home_2h_cornerKicks,home_2h_yellowCards,home_2h_offsides,home_2h_shots_onGoal,home_2h_fouls,home_2h_shots,home_2h_points,home_2h_possessionPercent,home_game_cornerKicks,home_game_yellowCards,home_game_offsides,home_game_shots_onGoal,home_game_fouls,home_game_shots,home_game_points,home_game_possessionPercent,away_1h_cornerKicks,away_1h_yellowCards,away_1h_offsides,away_1h_shots_onGoal,away_1h_fouls,away_1h_shots,away_1h_points,away_1h_possessionPercent,away_2h_cornerKicks,away_2h_yellowCards,away_2h_offsides,away_2h_shots_onGoal,away_2h_fouls,away_2h_shots,away_2h_points,away_2h_possessionPercent,away_game_cornerKicks,away_game_yellowCards,away_game_offsides,away_game_shots_onGoal,away_game_fouls,away_game_shots,away_game_points,away_game_possessionPercent
INTERNATIONAL_SOCCER,2026-06-04,LES,KEN,-0.3025,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-04,NIR,GUI,0.8116,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-04,SLO,CYP,-0.0231,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-04,IRI,MLI,0.2061,sgo_fairodds,1,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-04,SWE,GRE,0.654,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-04,AND,LIE,0.5709,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-04,ESP,IRA,,none,0,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-04,FRA,CIV,-0.3138,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,0,,,,,,,,2,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,GUA,CZE,-0.7555,sgo_fairodds,1,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,1,,,,,,,,0,,,,,,,,3,
INTERNATIONAL_SOCCER,2026-06-05,MEX,SRB,0.7787,sgo_fairodds,1,,,,,,,2,,,,,,,,3,,,,,,,,5,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,SIN,CHN,-0.7382,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,0,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,HKG,MGL,,none,0,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-05,THA,KUW,0.0397,sgo_fairodds,1,,,,,,,2,,,,,,,,0,,,,,,,,2,,,,,,,,0,,,,,,,,2,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,INA,OMN,0.7865,sgo_fairodds,1,,,,,,,2,,,,,,,,1,,,,,,,,3,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-05,TJK,IND,0.7222,sgo_fairodds,1,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,GEO,BHR,0.7743,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-05,BLR,SYR,0.697,sgo_fairodds,1,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-05,SVK,MNE,0.1245,sgo_fairodds,1,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,SMR,BAN,0.1432,sgo_fairodds,1,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-05,RUS,BUR,0.76,sgo_fairodds,1,,,,,,,2,,,,,,,,1,,,,,,,,3,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-05,MDA,BUL,0.0136,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,
